,Institucion,Enfermedad,Year
80,University of Central Florida,Aging,2021
81,University of Central Florida,Bone,2021
82,University of Central Florida,Inflammation,2021
83,University of Central Florida,Osteoporosis,2021
84,University of Central Florida,Polyunsaturated fat,2021
85,University of Central Florida,Saturated fat ,2021
86,University of Central Florida,Aging,2021
87,University of Central Florida,Bone,2021
88,University of Central Florida,Inflammation,2021
89,University of Central Florida,Osteoporosis,2021
90,University of Central Florida,Polyunsaturated fat,2021
91,University of Central Florida,Saturated fat ,2021
92,University of Central Florida,Aging,2021
93,University of Central Florida,Bone,2021
94,University of Central Florida,Inflammation,2021
95,University of Central Florida,Osteoporosis,2021
96,University of Central Florida,Polyunsaturated fat,2021
97,University of Central Florida,Saturated fat ,2021
98,University of Central Florida,Aging,2021
99,University of Central Florida,Bone,2021
100,University of Central Florida,Inflammation,2021
101,University of Central Florida,Osteoporosis,2021
102,University of Central Florida,Polyunsaturated fat,2021
103,University of Central Florida,Saturated fat ,2021
104,University of Central Florida,Aging,2021
105,University of Central Florida,Bone,2021
106,University of Central Florida,Inflammation,2021
107,University of Central Florida,Osteoporosis,2021
108,University of Central Florida,Polyunsaturated fat,2021
109,University of Central Florida,Saturated fat ,2021
110,University of Central Florida,Aging,2021
111,University of Central Florida,Bone,2021
112,University of Central Florida,Inflammation,2021
113,University of Central Florida,Osteoporosis,2021
114,University of Central Florida,Polyunsaturated fat,2021
115,University of Central Florida,Saturated fat ,2021
116,University of Central Florida,Aging,2021
117,University of Central Florida,Bone,2021
118,University of Central Florida,Inflammation,2021
119,University of Central Florida,Osteoporosis,2021
120,University of Central Florida,Polyunsaturated fat,2021
121,University of Central Florida,Saturated fat ,2021
122,Léon Bérard Cancer Center,ALK,2017
123,Léon Bérard Cancer Center,NSCLC,2017
124,Léon Bérard Cancer Center,alectinib,2017
125,Léon Bérard Cancer Center,crizotinib,2017
126,Léon Bérard Cancer Center,resistance mechanisms ,2017
127,Léon Bérard Cancer Center,ALK,2017
128,Léon Bérard Cancer Center,NSCLC,2017
129,Léon Bérard Cancer Center,alectinib,2017
130,Léon Bérard Cancer Center,crizotinib,2017
131,Léon Bérard Cancer Center,resistance mechanisms ,2017
132,University Hospital 12 de Octubre,Epigenetic,2019
133,University Hospital 12 de Octubre,biomarkers,2019
134,University Hospital 12 de Octubre,bladder cancer,2019
135,University Hospital 12 de Octubre,chromatin remodelling,2019
136,University Hospital 12 de Octubre,therapeutic target ,2019
137,University Hospital 12 de Octubre,Epigenetic,2019
138,University Hospital 12 de Octubre,biomarkers,2019
139,University Hospital 12 de Octubre,bladder cancer,2019
140,University Hospital 12 de Octubre,chromatin remodelling,2019
141,University Hospital 12 de Octubre,therapeutic target ,2019
142,University Hospital 12 de Octubre,Epigenetic,2019
143,University Hospital 12 de Octubre,biomarkers,2019
144,University Hospital 12 de Octubre,bladder cancer,2019
145,University Hospital 12 de Octubre,chromatin remodelling,2019
146,University Hospital 12 de Octubre,therapeutic target ,2019
147,University Hospital 12 de Octubre,Epigenetic,2019
148,University Hospital 12 de Octubre,biomarkers,2019
149,University Hospital 12 de Octubre,bladder cancer,2019
150,University Hospital 12 de Octubre,chromatin remodelling,2019
151,University Hospital 12 de Octubre,therapeutic target ,2019
152,University Hospital 12 de Octubre,Epigenetic,2019
153,University Hospital 12 de Octubre,biomarkers,2019
154,University Hospital 12 de Octubre,bladder cancer,2019
155,University Hospital 12 de Octubre,chromatin remodelling,2019
156,University Hospital 12 de Octubre,therapeutic target ,2019
157,University Hospital 12 de Octubre,Epigenetic,2019
158,University Hospital 12 de Octubre,biomarkers,2019
159,University Hospital 12 de Octubre,bladder cancer,2019
160,University Hospital 12 de Octubre,chromatin remodelling,2019
161,University Hospital 12 de Octubre,therapeutic target ,2019
162,University Hospital 12 de Octubre,Epigenetic,2019
163,University Hospital 12 de Octubre,biomarkers,2019
164,University Hospital 12 de Octubre,bladder cancer,2019
165,University Hospital 12 de Octubre,chromatin remodelling,2019
166,University Hospital 12 de Octubre,therapeutic target ,2019
167,University Hospital 12 de Octubre,Epigenetic,2019
168,University Hospital 12 de Octubre,biomarkers,2019
169,University Hospital 12 de Octubre,bladder cancer,2019
170,University Hospital 12 de Octubre,chromatin remodelling,2019
171,University Hospital 12 de Octubre,therapeutic target ,2019
172,Universidade de Santiago de Compostela,Epigenetic,2019
173,Universidade de Santiago de Compostela,biomarkers,2019
174,Universidade de Santiago de Compostela,bladder cancer,2019
175,Universidade de Santiago de Compostela,chromatin remodelling,2019
176,Universidade de Santiago de Compostela,therapeutic target ,2019
177,University Hospital 12 de Octubre,Epigenetic,2019
178,University Hospital 12 de Octubre,biomarkers,2019
179,University Hospital 12 de Octubre,bladder cancer,2019
180,University Hospital 12 de Octubre,chromatin remodelling,2019
181,University Hospital 12 de Octubre,therapeutic target ,2019
182,Louisiana State University Health Sciences Center,Aspergillus,2017
183,Louisiana State University Health Sciences Center,Candida,2017
184,Louisiana State University Health Sciences Center,Coccidioidomycosis,2017
185,Louisiana State University Health Sciences Center,Critical care,2017
186,Louisiana State University Health Sciences Center,Cryptococcus,2017
187,Louisiana State University Health Sciences Center,Histoplasmosis,2017
188,Louisiana State University Health Sciences Center,Invasive fungal infections,2017
189,Louisiana State University Health Sciences Center,Pneumocystis jirovecii ,2017
190,Louisiana State University Health Sciences Center,Aspergillus,2017
191,Louisiana State University Health Sciences Center,Candida,2017
192,Louisiana State University Health Sciences Center,Coccidioidomycosis,2017
193,Louisiana State University Health Sciences Center,Critical care,2017
194,Louisiana State University Health Sciences Center,Cryptococcus,2017
195,Louisiana State University Health Sciences Center,Histoplasmosis,2017
196,Louisiana State University Health Sciences Center,Invasive fungal infections,2017
197,Louisiana State University Health Sciences Center,Pneumocystis jirovecii ,2017
198,Louisiana State University Health Sciences Center,Aspergillus,2017
199,Louisiana State University Health Sciences Center,Candida,2017
200,Louisiana State University Health Sciences Center,Coccidioidomycosis,2017
201,Louisiana State University Health Sciences Center,Critical care,2017
202,Louisiana State University Health Sciences Center,Cryptococcus,2017
203,Louisiana State University Health Sciences Center,Histoplasmosis,2017
204,Louisiana State University Health Sciences Center,Invasive fungal infections,2017
205,Louisiana State University Health Sciences Center,Pneumocystis jirovecii ,2017
206,University of Beira Interior,anthocyanins,2021
207,University of Beira Interior,anti cancer agents,2021
208,University of Beira Interior,apoptosis,2021
209,University of Beira Interior,inflammation,2021
210,University of Beira Interior,invasion,2021
211,University of Beira Interior,metabolic reprogramming,2021
212,University of Beira Interior,metastization,2021
213,University of Beira Interior,oxidative stress,2021
214,University of Beira Interior,proliferation,2021
215,University of Beira Interior,sweet cherries ,2021
216,Queen's University Belfast,anthocyanins,2021
217,Queen's University Belfast,anti cancer agents,2021
218,Queen's University Belfast,apoptosis,2021
219,Queen's University Belfast,inflammation,2021
220,Queen's University Belfast,invasion,2021
221,Queen's University Belfast,metabolic reprogramming,2021
222,Queen's University Belfast,metastization,2021
223,Queen's University Belfast,oxidative stress,2021
224,Queen's University Belfast,proliferation,2021
225,Queen's University Belfast,sweet cherries ,2021
226,University of Beira Interior,anthocyanins,2021
227,University of Beira Interior,anti cancer agents,2021
228,University of Beira Interior,apoptosis,2021
229,University of Beira Interior,inflammation,2021
230,University of Beira Interior,invasion,2021
231,University of Beira Interior,metabolic reprogramming,2021
232,University of Beira Interior,metastization,2021
233,University of Beira Interior,oxidative stress,2021
234,University of Beira Interior,proliferation,2021
235,University of Beira Interior,sweet cherries ,2021
236,University of Beira Interior,anthocyanins,2021
237,University of Beira Interior,anti cancer agents,2021
238,University of Beira Interior,apoptosis,2021
239,University of Beira Interior,inflammation,2021
240,University of Beira Interior,invasion,2021
241,University of Beira Interior,metabolic reprogramming,2021
242,University of Beira Interior,metastization,2021
243,University of Beira Interior,oxidative stress,2021
244,University of Beira Interior,proliferation,2021
245,University of Beira Interior,sweet cherries ,2021
246,University of Beira Interior,anthocyanins,2021
247,University of Beira Interior,anti cancer agents,2021
248,University of Beira Interior,apoptosis,2021
249,University of Beira Interior,inflammation,2021
250,University of Beira Interior,invasion,2021
251,University of Beira Interior,metabolic reprogramming,2021
252,University of Beira Interior,metastization,2021
253,University of Beira Interior,oxidative stress,2021
254,University of Beira Interior,proliferation,2021
255,University of Beira Interior,sweet cherries ,2021
256,University of Beira Interior,anthocyanins,2021
257,University of Beira Interior,anti cancer agents,2021
258,University of Beira Interior,apoptosis,2021
259,University of Beira Interior,inflammation,2021
260,University of Beira Interior,invasion,2021
261,University of Beira Interior,metabolic reprogramming,2021
262,University of Beira Interior,metastization,2021
263,University of Beira Interior,oxidative stress,2021
264,University of Beira Interior,proliferation,2021
265,University of Beira Interior,sweet cherries ,2021
266,University of Beira Interior,anthocyanins,2021
267,University of Beira Interior,anti cancer agents,2021
268,University of Beira Interior,apoptosis,2021
269,University of Beira Interior,inflammation,2021
270,University of Beira Interior,invasion,2021
271,University of Beira Interior,metabolic reprogramming,2021
272,University of Beira Interior,metastization,2021
273,University of Beira Interior,oxidative stress,2021
274,University of Beira Interior,proliferation,2021
275,University of Beira Interior,sweet cherries ,2021
276,University of Beira Interior,anthocyanins,2021
277,University of Beira Interior,anti cancer agents,2021
278,University of Beira Interior,apoptosis,2021
279,University of Beira Interior,inflammation,2021
280,University of Beira Interior,invasion,2021
281,University of Beira Interior,metabolic reprogramming,2021
282,University of Beira Interior,metastization,2021
283,University of Beira Interior,oxidative stress,2021
284,University of Beira Interior,proliferation,2021
285,University of Beira Interior,sweet cherries ,2021
286,Columbia University Irving Medical Center,Cerclage,2020
287,Columbia University Irving Medical Center,Cervical length,2020
288,Columbia University Irving Medical Center,Pessary,2020
289,Columbia University Irving Medical Center,Preterm birth,2020
290,Columbia University Irving Medical Center,Progesterone ,2020
291,Columbia University,Cerclage,2020
292,Columbia University,Cervical length,2020
293,Columbia University,Pessary,2020
294,Columbia University,Preterm birth,2020
295,Columbia University,Progesterone ,2020
296,New York University,Adolescents,2021
297,New York University,Children,2021
298,New York University,Cognitive behavior therapy for insomnia,2021
299,New York University,Insomnia,2021
300,New York University,Pediatric insomnia,2021
301,New York University,Sleep,2021
302,New York University,Sleep hygiene ,2021
303,New York University,Adolescents,2021
304,New York University,Children,2021
305,New York University,Cognitive behavior therapy for insomnia,2021
306,New York University,Insomnia,2021
307,New York University,Pediatric insomnia,2021
308,New York University,Sleep,2021
309,New York University,Sleep hygiene ,2021
310,New York University School of Medicine,Concussion,2018
311,New York University School of Medicine,Magnetic resonance spectroscopy MRS ,2018
312,New York University School of Medicine,Mild traumatic brain injury mTBI ,2018
313,New York University School of Medicine,SWI,2018
314,New York University School of Medicine,Susceptibility weighted imaging ,2018
315,Clinical Translational Sciences Institute,Concussion,2018
316,Clinical Translational Sciences Institute,Magnetic resonance spectroscopy MRS ,2018
317,Clinical Translational Sciences Institute,Mild traumatic brain injury mTBI ,2018
318,Clinical Translational Sciences Institute,SWI,2018
319,Clinical Translational Sciences Institute,Susceptibility weighted imaging ,2018
320,University of North Carolina,Concussion,2018
321,University of North Carolina,Magnetic resonance spectroscopy MRS ,2018
322,University of North Carolina,Mild traumatic brain injury mTBI ,2018
323,University of North Carolina,SWI,2018
324,University of North Carolina,Susceptibility weighted imaging ,2018
325,Brigham and Women's Hospital,CANTOS,2018
326,Brigham and Women's Hospital,atherosclerosis,2018
327,Brigham and Women's Hospital,canakinumab,2018
328,Brigham and Women's Hospital,inflammation,2018
329,Brigham and Women's Hospital,interleukin 1 ,2018
330,Department of Physical Medicine and Rehabilitation,acquired brain injury,2016
331,Department of Physical Medicine and Rehabilitation,conceptual model,2016
332,Department of Physical Medicine and Rehabilitation,functional vision,2016
333,Department of Physical Medicine and Rehabilitation,interprofessional,2016
334,Department of Physical Medicine and Rehabilitation,rehabilitation,2016
335,Department of Physical Medicine and Rehabilitation,stroke,2016
336,Department of Physical Medicine and Rehabilitation,vision,2016
337,Department of Physical Medicine and Rehabilitation,vision assessment,2016
338,Department of Physical Medicine and Rehabilitation,vision specialists,2016
339,Department of Physical Medicine and Rehabilitation,visual function ,2016
340,New York University Langone Medical Center,acquired brain injury,2016
341,New York University Langone Medical Center,conceptual model,2016
342,New York University Langone Medical Center,functional vision,2016
343,New York University Langone Medical Center,interprofessional,2016
344,New York University Langone Medical Center,rehabilitation,2016
345,New York University Langone Medical Center,stroke,2016
346,New York University Langone Medical Center,vision,2016
347,New York University Langone Medical Center,vision assessment,2016
348,New York University Langone Medical Center,vision specialists,2016
349,New York University Langone Medical Center,visual function ,2016
350,Columbia University,acquired brain injury,2016
351,Columbia University,conceptual model,2016
352,Columbia University,functional vision,2016
353,Columbia University,interprofessional,2016
354,Columbia University,rehabilitation,2016
355,Columbia University,stroke,2016
356,Columbia University,vision,2016
357,Columbia University,vision assessment,2016
358,Columbia University,vision specialists,2016
359,Columbia University,visual function ,2016
360,Department of Physical Medicine and Rehabilitation,acquired brain injury,2016
361,Department of Physical Medicine and Rehabilitation,conceptual model,2016
362,Department of Physical Medicine and Rehabilitation,functional vision,2016
363,Department of Physical Medicine and Rehabilitation,interprofessional,2016
364,Department of Physical Medicine and Rehabilitation,rehabilitation,2016
365,Department of Physical Medicine and Rehabilitation,stroke,2016
366,Department of Physical Medicine and Rehabilitation,vision,2016
367,Department of Physical Medicine and Rehabilitation,vision assessment,2016
368,Department of Physical Medicine and Rehabilitation,vision specialists,2016
369,Department of Physical Medicine and Rehabilitation,visual function ,2016
370,Boston University,acquired brain injury,2016
371,Boston University,conceptual model,2016
372,Boston University,functional vision,2016
373,Boston University,interprofessional,2016
374,Boston University,rehabilitation,2016
375,Boston University,stroke,2016
376,Boston University,vision,2016
377,Boston University,vision assessment,2016
378,Boston University,vision specialists,2016
379,Boston University,visual function ,2016
380,Department of Physical Medicine and Rehabilitation,acquired brain injury,2016
381,Department of Physical Medicine and Rehabilitation,conceptual model,2016
382,Department of Physical Medicine and Rehabilitation,functional vision,2016
383,Department of Physical Medicine and Rehabilitation,interprofessional,2016
384,Department of Physical Medicine and Rehabilitation,rehabilitation,2016
385,Department of Physical Medicine and Rehabilitation,stroke,2016
386,Department of Physical Medicine and Rehabilitation,vision,2016
387,Department of Physical Medicine and Rehabilitation,vision assessment,2016
388,Department of Physical Medicine and Rehabilitation,vision specialists,2016
389,Department of Physical Medicine and Rehabilitation,visual function ,2016
390,Department of Physical Medicine and Rehabilitation,acquired brain injury,2016
391,Department of Physical Medicine and Rehabilitation,conceptual model,2016
392,Department of Physical Medicine and Rehabilitation,functional vision,2016
393,Department of Physical Medicine and Rehabilitation,interprofessional,2016
394,Department of Physical Medicine and Rehabilitation,rehabilitation,2016
395,Department of Physical Medicine and Rehabilitation,stroke,2016
396,Department of Physical Medicine and Rehabilitation,vision,2016
397,Department of Physical Medicine and Rehabilitation,vision assessment,2016
398,Department of Physical Medicine and Rehabilitation,vision specialists,2016
399,Department of Physical Medicine and Rehabilitation,visual function ,2016
400,Kettlewell Eye Research Institute,acquired brain injury,2016
401,Kettlewell Eye Research Institute,conceptual model,2016
402,Kettlewell Eye Research Institute,functional vision,2016
403,Kettlewell Eye Research Institute,interprofessional,2016
404,Kettlewell Eye Research Institute,rehabilitation,2016
405,Kettlewell Eye Research Institute,stroke,2016
406,Kettlewell Eye Research Institute,vision,2016
407,Kettlewell Eye Research Institute,vision assessment,2016
408,Kettlewell Eye Research Institute,vision specialists,2016
409,Kettlewell Eye Research Institute,visual function ,2016
410,Università Politecnica delle Marche,AMPK,2018
411,Università Politecnica delle Marche,Complex I,2018
412,Università Politecnica delle Marche,Gluconeogenesis,2018
413,Università Politecnica delle Marche,Gut flora,2018
414,Università Politecnica delle Marche,Inflammaging,2018
415,Università Politecnica delle Marche,Insulin sensitivity,2018
416,Università Politecnica delle Marche,Microbiota,2018
417,Università Politecnica delle Marche,Senescence,2018
418,Università Politecnica delle Marche,Short chain fatty acids,2018
419,Università Politecnica delle Marche,mTOR ,2018
420,Università Politecnica delle Marche,AMPK,2018
421,Università Politecnica delle Marche,Complex I,2018
422,Università Politecnica delle Marche,Gluconeogenesis,2018
423,Università Politecnica delle Marche,Gut flora,2018
424,Università Politecnica delle Marche,Inflammaging,2018
425,Università Politecnica delle Marche,Insulin sensitivity,2018
426,Università Politecnica delle Marche,Microbiota,2018
427,Università Politecnica delle Marche,Senescence,2018
428,Università Politecnica delle Marche,Short chain fatty acids,2018
429,Università Politecnica delle Marche,mTOR ,2018
430,Università Politecnica delle Marche,AMPK,2018
431,Università Politecnica delle Marche,Complex I,2018
432,Università Politecnica delle Marche,Gluconeogenesis,2018
433,Università Politecnica delle Marche,Gut flora,2018
434,Università Politecnica delle Marche,Inflammaging,2018
435,Università Politecnica delle Marche,Insulin sensitivity,2018
436,Università Politecnica delle Marche,Microbiota,2018
437,Università Politecnica delle Marche,Senescence,2018
438,Università Politecnica delle Marche,Short chain fatty acids,2018
439,Università Politecnica delle Marche,mTOR ,2018
440,Institut d'Investigacions Biomèdiques August Pi i Sunyer,AMPK,2018
441,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Complex I,2018
442,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Gluconeogenesis,2018
443,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Gut flora,2018
444,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Inflammaging,2018
445,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Insulin sensitivity,2018
446,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Microbiota,2018
447,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Senescence,2018
448,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Short chain fatty acids,2018
449,Institut d'Investigacions Biomèdiques August Pi i Sunyer,mTOR ,2018
450,Università Politecnica delle Marche,AMPK,2018
451,Università Politecnica delle Marche,Complex I,2018
452,Università Politecnica delle Marche,Gluconeogenesis,2018
453,Università Politecnica delle Marche,Gut flora,2018
454,Università Politecnica delle Marche,Inflammaging,2018
455,Università Politecnica delle Marche,Insulin sensitivity,2018
456,Università Politecnica delle Marche,Microbiota,2018
457,Università Politecnica delle Marche,Senescence,2018
458,Università Politecnica delle Marche,Short chain fatty acids,2018
459,Università Politecnica delle Marche,mTOR ,2018
460,Università Politecnica delle Marche,AMPK,2018
461,Università Politecnica delle Marche,Complex I,2018
462,Università Politecnica delle Marche,Gluconeogenesis,2018
463,Università Politecnica delle Marche,Gut flora,2018
464,Università Politecnica delle Marche,Inflammaging,2018
465,Università Politecnica delle Marche,Insulin sensitivity,2018
466,Università Politecnica delle Marche,Microbiota,2018
467,Università Politecnica delle Marche,Senescence,2018
468,Università Politecnica delle Marche,Short chain fatty acids,2018
469,Università Politecnica delle Marche,mTOR ,2018
470,Università Politecnica delle Marche,AMPK,2018
471,Università Politecnica delle Marche,Complex I,2018
472,Università Politecnica delle Marche,Gluconeogenesis,2018
473,Università Politecnica delle Marche,Gut flora,2018
474,Università Politecnica delle Marche,Inflammaging,2018
475,Università Politecnica delle Marche,Insulin sensitivity,2018
476,Università Politecnica delle Marche,Microbiota,2018
477,Università Politecnica delle Marche,Senescence,2018
478,Università Politecnica delle Marche,Short chain fatty acids,2018
479,Università Politecnica delle Marche,mTOR ,2018
480,Institut d'Investigacions Biomèdiques August Pi i Sunyer,AMPK,2018
481,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Complex I,2018
482,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Gluconeogenesis,2018
483,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Gut flora,2018
484,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Inflammaging,2018
485,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Insulin sensitivity,2018
486,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Microbiota,2018
487,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Senescence,2018
488,Institut d'Investigacions Biomèdiques August Pi i Sunyer,Short chain fatty acids,2018
489,Institut d'Investigacions Biomèdiques August Pi i Sunyer,mTOR ,2018
490,Independent Public Regional Hospital,COVID 19,2020
491,Independent Public Regional Hospital,SARS CoV 2,2020
492,Independent Public Regional Hospital,acute coronary syndrome,2020
493,Independent Public Regional Hospital,atherosclerosis,2020
494,Independent Public Regional Hospital,cardiovascular,2020
495,Independent Public Regional Hospital,inflammation ,2020
496,Central Clinical Hospital of Ministry of Interior,COVID 19,2020
497,Central Clinical Hospital of Ministry of Interior,SARS CoV 2,2020
498,Central Clinical Hospital of Ministry of Interior,acute coronary syndrome,2020
499,Central Clinical Hospital of Ministry of Interior,atherosclerosis,2020
500,Central Clinical Hospital of Ministry of Interior,cardiovascular,2020
501,Central Clinical Hospital of Ministry of Interior,inflammation ,2020
502,Universitaire,Africa,2018
503,Universitaire,IHU Mediterranée Infection,2018
504,Universitaire,Mediterranean Basin,2018
505,Universitaire,bacteria,2018
506,Universitaire,food,2018
507,Universitaire,food borne,2018
508,Universitaire,fungus,2018
509,Universitaire,infections,2018
510,Universitaire,virus,2018
511,Universitaire,zoonosis ,2018
512,Universitaire,Africa,2018
513,Universitaire,IHU Mediterranée Infection,2018
514,Universitaire,Mediterranean Basin,2018
515,Universitaire,bacteria,2018
516,Universitaire,food,2018
517,Universitaire,food borne,2018
518,Universitaire,fungus,2018
519,Universitaire,infections,2018
520,Universitaire,virus,2018
521,Universitaire,zoonosis ,2018
522,Universitaire,Africa,2018
523,Universitaire,IHU Mediterranée Infection,2018
524,Universitaire,Mediterranean Basin,2018
525,Universitaire,bacteria,2018
526,Universitaire,food,2018
527,Universitaire,food borne,2018
528,Universitaire,fungus,2018
529,Universitaire,infections,2018
530,Universitaire,virus,2018
531,Universitaire,zoonosis ,2018
532,Niaimi is with the skin clinic at London Harley Street,antioxidant,2017
533,Niaimi is with the skin clinic at London Harley Street,ascorbic acid,2017
534,Niaimi is with the skin clinic at London Harley Street,photoaging,2017
535,Niaimi is with the skin clinic at London Harley Street,photoprotection,2017
536,Niaimi is with the skin clinic at London Harley Street,vitamin C ,2017
537,Niaimi is with the skin clinic at London Harley Street,antioxidant,2017
538,Niaimi is with the skin clinic at London Harley Street,ascorbic acid,2017
539,Niaimi is with the skin clinic at London Harley Street,photoaging,2017
540,Niaimi is with the skin clinic at London Harley Street,photoprotection,2017
541,Niaimi is with the skin clinic at London Harley Street,vitamin C ,2017
542,University of Porto,COVID 19,2021
543,University of Porto,Gender inequality,2021
544,University of Porto,Sexual function,2021
545,University of Porto,Sexual health,2021
546,University of Porto,Sexual pleasure,2021
547,University of Porto,Women ,2021
548,University of Porto,COVID 19,2021
549,University of Porto,Gender inequality,2021
550,University of Porto,Sexual function,2021
551,University of Porto,Sexual health,2021
552,University of Porto,Sexual pleasure,2021
553,University of Porto,Women ,2021
554,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,interdisciplinary communication,2019
555,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,observer variation,2019
556,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,predictive value of tests,2019
557,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,standardization,2019
558,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,terminology ,2019
559,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,interdisciplinary communication,2019
560,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,observer variation,2019
561,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,predictive value of tests,2019
562,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,standardization,2019
563,University of Wisconsin School of Medicine and Public Health Wisconsin State Laboratory of Hygiene,terminology ,2019
564,Southwest University,Amino acid,2021
565,Southwest University,Gut microbiota,2021
566,Southwest University,Host,2021
567,Southwest University,Metabolism,2021
568,Southwest University,Mucosal immunity ,2021
569,Southwest University,Amino acid,2021
570,Southwest University,Gut microbiota,2021
571,Southwest University,Host,2021
572,Southwest University,Metabolism,2021
573,Southwest University,Mucosal immunity ,2021
574,Southwest University,Amino acid,2021
575,Southwest University,Gut microbiota,2021
576,Southwest University,Host,2021
577,Southwest University,Metabolism,2021
578,Southwest University,Mucosal immunity ,2021
579,Southwest University,Amino acid,2021
580,Southwest University,Gut microbiota,2021
581,Southwest University,Host,2021
582,Southwest University,Metabolism,2021
583,Southwest University,Mucosal immunity ,2021
584,Southwest University,Amino acid,2021
585,Southwest University,Gut microbiota,2021
586,Southwest University,Host,2021
587,Southwest University,Metabolism,2021
588,Southwest University,Mucosal immunity ,2021
589,Southwest University,Amino acid,2021
590,Southwest University,Gut microbiota,2021
591,Southwest University,Host,2021
592,Southwest University,Metabolism,2021
593,Southwest University,Mucosal immunity ,2021
594,Southwest University,Amino acid,2021
595,Southwest University,Gut microbiota,2021
596,Southwest University,Host,2021
